Id,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,Max_EState_Index,Min_Abs_EState_Index,MolecularW,Exact_Molecular_Weight,Number_of_Valence_Electrons,Max_Partial_Charge,Min_Abs_Partial_Charge,FpDensity_Morgan_Level_1,BCUT2D_High_Molecular_Weight,J_Index,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Chi0_Connectivity_Index,Hall_Kier_Alpha_Descriptor,Kappa_Shape_Index_1,Labute_ASA,PEOE_VSA_1,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,SlogP_VSA_3,TPSA_8,VSA_EState_1,Fraction_of_sp3_Carbon_Atoms,Number_of_Rotatable_Bonds,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,lipophilicity
3827,6.370075586,-0.302962963,6.370075586,0.302962963,0.829096283,211.308,194.172,211.1360995,82,0,0.389402092,0.129053187,0.776888106,0.733772565,0.502653853,0.687142943,0.328762769,0.864720896,0.246932777,0.535320722,0.042133368,-0.321352323,0.321352323,0.042133368,0.875,1.375,1.9375,14.71549744,9.866074789,2.203320119,-2.249671698,2.216272652,-2.348589461,5.268463962,0.491267636,2.209687214,431.5068351,11.43287513,9.557959742,9.557959742,7.683469978,5.567149121,5.567149121,4.445867592,4.445867592,2.847430938,2.847430938,1.940856816,1.940856816,-1.6,0.084519148,3.818606983,1.759986458,4.996832644,4.018619286,5319.683059,10.90261427,4.499047952,2.497836196,96.92321437,5.733667477,0.0,0.031678178,0.842732996,0.776499583,0.716836574,0.072207217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.66367068,24.47146181,5.538925252,0.0,0.0,0.0,0.0,0.0,5.733667477,18.88348407,0.0,71.79057367,0,0.0,5.733667477,0.0,0.0,0.0,0.0,11.95974688,0.0,18.05064018,60.66367068,0.0,0.0,0,26.02,0.0,0.0,0.0,5.538925252,0.0,6.420821623,11.12690298,0.0,24.26546827,43.32193961,5.733667477,0.0,0.0,0.0,0.0,8.521007181,0.0,20.62464097,0.858981481,2.078703704,0.0,0.2,16,2,1,0,0,0,2,0,2,1,1,1,3,0,0,0,2,3.1032,68.1274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,12.16563346,-3.212891695,12.16563346,0.273798209,0.687620979,448.545,420.321,448.178041,168,0,0.315607749,0.078726435,0.667782504,0.144944957,0.021868479,0.165662258,0.009199085,0.752733972,0.057403328,0.808801025,0.409903733,-0.485663263,0.485663263,0.409903733,1.032258065,1.612903226,2.129032258,32.22774672,10.17706602,2.262303553,-2.350607476,2.175298917,-2.50051883,7.903040542,0.023979876,1.499022693,993.5607648,22.6480536,18.23797965,19.05447623,14.50996982,9.978884384,11.87029592,8.377996265,10.39373184,4.585733504,5.714203731,2.96225522,3.592725732,-2.88,5.155066291,8.269182628,7.587473992,9.173812674,2.585867173,5323330.76,22.7973702,9.088617964,6.548581925,182.4700037,19.27354537,12.20793278,0.350643354,0.571911612,0.515079371,0.127480233,0.392811151,15.58676497,5.948339281,0.0,6.093240071,0.0,23.18029121,0.0,0.0,12.13273414,38.46739723,32.43479481,17.28917062,22.68606008,21.87883249,0.0,14.86786677,0.0,37.87462785,37.33470454,42.22260691,0,5.749511833,9.636772685,10.74287647,5.749511833,0.0,67.41474945,21.18099805,0.0,26.33466309,41.55463889,0.0,0.0,0,101.93,15.43830395,13.21233417,0.0,17.59560551,37.87687674,5.563451492,6.255769184,41.55906515,25.67112133,9.967957042,9.473725908,34.13332392,0.0,24.86903598,0.0,0.331345319,1.094467212,6.556164259,4.080346956,8.148208046,-3.212891695,0.476190476,31,0,9,0,1,1,1,1,2,8,0,10,5,0,1,1,3,2.5162,115.9358,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3633,6.392655995,0.399160248,6.392655995,0.399160248,0.356691026,522.642,496.434,522.2062618,190,0,0.238796614,0.581516119,0.404356382,0.95942834,0.705663469,0.191917969,0.68509995,0.778205591,0.04937437,0.415223218,0.180637353,-0.382964556,0.382964556,0.180637353,0.921052632,1.763157895,2.631578947,32.13354929,10.09782842,2.223647817,-2.34067783,2.346323376,-2.448206741,7.215905822,0.311555505,1.371875688,1816.024181,25.80238966,20.87234392,21.6888405,18.53000978,12.48909775,13.30559433,9.652505076,10.71473207,7.139984502,7.987312374,5.151754744,5.925208137,-4.35,1.118120678,7.577459132,6.988878754,8.964392592,9.678986695,998396896.5,22.81734224,8.891376568,3.870177032,222.100044,21.26715442,23.65697363,0.78707492,0.353875404,0.028312859,0.871735238,0.524187186,10.7787357,0.0,0.0,0.0,0.0,24.61771702,5.098681808,0.0,35.60225415,31.31314026,42.69215282,27.66430197,0.0,60.25701691,0.0,34.61630856,0.0,6.544756406,49.59394229,60.42170811,0,11.25737949,16.36724469,16.76728404,0.0,11.33678588,67.84300616,6.544756406,0.0,5.563451492,54.85825662,0.0,43.41032649,0,127.9,0.0,0.0,0.0,0.0,23.14135488,75.32348916,17.66410595,0.0,28.94727121,56.06489528,21.54999528,2.910599455,1.451334434,23.09138349,7.410000988,17.61999886,1.390440609,16.46470703,1.4927918,4.343820692,2.158255971,0.222222222,38,4,10,0,1,1,2,4,6,11,2,11,4,0,1,1,7,3.6157,153.3168,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,8,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1543,5.529537037,0.519675926,5.529537037,0.519675926,0.552163667,134.142,128.094,134.0592462,50,0,0.908768662,0.6771581,0.586298682,0.086284901,0.24319947,0.388212208,0.246730855,0.339463603,0.649978239,0.809846639,0.142328255,-0.383032519,0.383032519,0.142328255,1.4,2.3,3.1,14.95186444,10.37917071,1.969059863,-1.899420472,2.123250118,-1.901149288,5.846253794,1.20686588,2.950090305,351.2753029,6.974691495,5.203828268,5.203828268,4.877010098,2.912970112,2.912970112,1.998862188,1.998862188,1.384780404,1.384780404,0.892466924,0.892466924,-1.58,6.796969437,5.832065412,9.558292856,8.609962346,2.252566918,372.42214,5.22417957,1.698122161,0.555845827,57.10141473,10.717646,17.79236007,0.215971071,0.547234761,0.58366935,0.799479063,0.960250713,0.0,0.0,0.0,0.0,0.0,9.967957042,0.0,0.0,0.0,6.066367068,6.196843572,5.386224214,0.0,16.85126421,0.0,14.95193556,0.0,0.0,5.733667477,18.59053071,0,0.0,5.733667477,5.817862778,0.0,0.0,14.95193556,0.0,0.0,0.0,18.59053071,0.0,11.03340144,0,67.59,0.0,0.0,0.0,0.0,5.817862778,11.03340144,6.327320075,6.196843572,6.066367068,14.95193556,5.733667477,0.0,0.0,10.71083333,0.877314815,6.314259259,0.519675926,1.851851852,3.226064815,0.0,0.0,0.0,10,3,4,0,0,0,0,2,2,3,2,4,0,0,0,0,2,0.5401,38.3011,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,5.297066327,0.708796296,5.297066327,0.708796296,0.873056448,228.295,212.167,228.1262631,88,0,0.519217704,0.837924355,0.458543697,0.618141123,0.393547342,0.141585939,0.440120369,0.553133369,0.357724212,0.443599474,0.125903175,-0.496406523,0.496406523,0.125903175,1.235294118,2.058823529,2.823529412,16.46581977,10.17065113,2.01022603,-2.095082445,2.179763267,-2.02545621,5.406202451,0.410067481,2.06921225,497.0858125,12.08757567,10.10402055,10.10402055,8.292024998,5.577993911,5.577993911,3.883832451,3.883832451,2.567918757,2.567918757,1.667639362,1.667639362,-2.03,8.2685944,5.027836591,4.387828393,1.101899952,9.634614743,9547.3912,11.4552555,5.344160557,2.967842213,101.4663791,10.05365156,11.56737461,0.120021156,0.37784001,0.188291737,0.097313249,0.922572635,0.0,0.0,0.0,0.0,0.0,4.983978521,0.0,0.0,18.19910121,30.6862899,18.30505147,7.109797541,4.736862954,5.817862778,0.0,4.983978521,0.0,13.46849361,12.42658615,53.72194897,0,5.749511833,10.05365156,5.817862778,5.749511833,0.0,12.09377606,6.544756406,6.9237372,11.12690298,42.59504598,0.0,0.0,0,34.15,0.0,0.0,0.0,0.0,6.544756406,17.1308261,5.563451492,13.30664111,36.39820241,17.22450432,4.736862954,5.297066327,0.0,4.258204837,3.28537037,2.320215551,1.781073318,11.97466889,1.805448554,2.760344388,1.684274429,0.214285714,17,1,3,0,0,0,1,1,2,3,1,3,4,0,0,0,2,3.01072,69.2947,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1873,12.38981156,-3.458516655,12.38981156,0.181017351,0.748256423,373.434,354.282,373.1096271,136,0,0.15445935,0.755134355,0.00743383,0.219821657,0.963338788,0.25450077,0.309495937,0.049221796,0.966852688,0.220850972,0.321499942,-0.377771734,0.377771734,0.321499942,1.038461538,1.730769231,2.461538462,32.23315553,10.13291465,2.192493798,-2.264682036,2.31662893,-2.425446284,7.890955536,0.056445681,1.778615832,1098.269947,18.31119031,14.30554765,15.12204423,12.44850831,8.32429029,10.17260191,6.306048149,8.13723672,4.509587198,5.566270663,3.341159243,4.374168203,-2.58,0.721851909,4.000065193,5.158994979,7.934660919,1.088488254,1092172.883,16.86523825,6.296249406,2.908023415,150.7432247,14.95356129,0.0,0.263108042,0.328689852,0.177255381,0.097551084,0.456094626,0.0,10.02329115,0.0,6.031114512,0.0,17.18474008,0.0,0.0,18.19910121,24.26546827,29.54934752,30.50293455,17.94919712,43.5476418,0.0,8.872315639,0.0,0.0,37.87583453,42.46456948,0,0.0,5.316788604,10.48192346,0.0,0.0,55.88027306,14.76015411,0.0,0.0,42.46456948,0.0,21.80584986,0,80.64,10.02329115,13.21233417,0.0,6.031114512,43.02406445,10.77244843,10.22817509,23.09901094,24.26546827,5.316788604,4.736862954,31.12953945,0.0,14.09167575,4.501423847,1.851965937,0.0,12.42703998,1.187494171,2.186044185,-3.458516655,0.277777778,26,1,7,0,1,1,2,1,3,5,1,8,2,0,1,1,4,2.4663,101.0965,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3500,12.62710733,-4.461271394,12.62710733,0.26146759,0.435012251,455.48,431.288,455.1820617,172,0,0.703026053,0.133838842,0.685681437,0.296756678,0.194678631,0.595342836,0.878531949,0.344002668,0.739182859,0.936923773,0.432833452,-0.481222809,0.481222809,0.432833452,0.909090909,1.545454545,2.060606061,19.41322786,9.772799715,2.316010614,-2.275752466,2.372807389,-2.158178596,5.667718033,-0.140959719,1.356249208,1073.880044,23.42407448,17.84751963,17.84751963,15.77500815,10.86184368,10.86184368,8.424508463,8.424508463,6.093976845,6.093976845,4.313626924,4.313626924,-3.42,1.090949453,7.932260173,4.754603223,7.140242752,1.495727965,25446084.61,22.7625262,9.602888201,5.884010553,189.2657596,10.423316,5.693927995,0.018625148,0.598569565,0.201580502,0.901008824,0.788294587,0.0,0.0,0.0,12.14560381,9.778515705,4.983978521,13.17124514,0.0,24.26546827,67.34801835,11.98427311,29.46238769,23.07230972,17.34407784,0.0,9.967957042,5.917906046,44.19831268,5.316788604,72.18200318,0,11.25737949,5.316788604,24.54601769,0.0,0.0,21.04378972,10.9708357,5.917906046,49.27939365,60.92462369,0.0,11.25737949,0,75.11,17.8395318,17.96578233,0.0,12.33872767,17.2926786,49.20387662,11.62981856,6.196843572,24.26546827,27.41747978,5.106527395,37.881322,0.0,18.80249245,11.96451342,3.192397521,0.028913068,14.22793382,2.485761056,0.0,0.0,0.32,33,2,5,1,0,1,1,2,3,4,2,8,6,1,0,1,4,6.6545,119.1465,1,0,0,0,0,2,0,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
2226,13.48239658,-0.902361011,13.48239658,0.076156095,0.44054778,496.059,461.787,495.2513364,186,0,0.921239699,0.994429589,0.276694304,0.518127813,0.78967237,0.685327509,0.66971713,0.627570675,0.267552811,0.807972177,0.24020456,-0.355783637,0.355783637,0.24020456,1.114285714,1.857142857,2.6,35.49569214,9.864420473,2.38880418,-2.391205448,2.292924803,-2.597287096,6.300967322,-0.127530418,1.232877016,1134.067629,24.25250161,20.04939416,20.80532311,17.01578843,12.62489467,13.00285914,9.848990869,10.28542665,7.483866327,7.735842642,5.299776084,5.425764242,-2.68,1.602577503,7.51630576,3.189198555,2.331190251,8.059791718,157164380.1,24.03384075,10.51827876,5.444925742,210.7903541,25.83425406,17.79236007,0.301197903,0.600483704,0.340851383,0.749001042,0.074428893,0.0,5.907179729,0.0,0.0,4.794537184,9.967957042,0.0,0.0,23.73367403,81.92175165,24.3089897,16.9669903,4.794537184,34.35938383,0.0,25.1686339,5.733667477,50.10569582,37.62369176,53.44208379,0,0.0,15.95036581,5.817862778,0.0,11.60093989,64.0217323,4.794537184,0.0,50.13022206,42.85599899,5.022633314,11.03340144,0,103.17,5.538925252,4.794537184,0.0,11.94902056,30.95378937,41.80111536,25.93115606,6.327320075,36.52867891,30.06854363,17.33460737,0.0,6.120041734,30.09201168,4.976294335,7.692047791,0.812419512,9.688750498,9.046638865,4.766240035,0.0,0.5,35,4,8,0,2,2,1,2,3,6,3,9,8,0,2,2,5,3.6425,139.4978,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,4,2,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3998,12.48365715,-0.11977298,12.48365715,0.059851266,0.642771058,425.92,401.728,425.1618527,156,0,0.966094513,0.084025861,0.578127221,0.081158533,0.9669319,0.331076893,0.193611363,0.878307788,0.675277052,0.626387736,0.251053526,-0.377773867,0.377773867,0.251053526,1.1,1.833333333,2.533333333,35.49569188,10.10995217,2.178757376,-2.270771835,2.279454662,-2.37022312,6.301815282,0.094295581,1.762364095,1049.32729,21.08721119,16.98333112,17.73926006,14.49120364,9.973722921,10.35168739,7.463617714,7.900053494,4.767953281,5.019929596,3.274111091,3.400099249,-2.9,6.699446315,8.640791815,3.768326935,1.335759727,4.646037526,7168463.304,20.37592411,8.851837038,4.632144344,179.9610552,20.27034989,5.817862778,0.441061457,0.152681395,0.089322013,0.016821355,0.186764189,0.0,5.948339281,5.907179729,0.0,4.794537184,4.983978521,4.983978521,0.0,11.60093989,56.31204388,40.79104894,18.73046465,9.531400138,45.86463289,0.0,15.28474565,0.0,19.88931523,36.51997508,53.05065428,0,0.0,15.53348694,17.45358833,0.0,11.60093989,48.22025434,4.736862954,0.0,24.20546308,42.46456948,5.022633314,10.90292493,0,79.38,0.0,4.794537184,0.0,11.94902056,41.08275151,24.1631233,0.0,6.066367068,50.24567681,15.53348694,26.30575989,5.455008609,6.009678769,24.11319151,7.795870131,2.146839603,1.17496156,12.99217619,0.0,6.590051399,0.0,0.318181818,30,2,7,0,1,1,2,1,3,6,2,8,5,0,1,1,4,4.0016,119.9069,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1270,12.4753067,-0.978705443,12.4753067,0.078388697,0.563957026,420.509,392.285,420.2049074,162,0,0.124244256,0.409158552,0.696387211,0.310723806,0.357188158,0.840721344,0.236589746,0.356274485,0.350013759,0.267523548,0.335318197,-0.496438274,0.496438274,0.335318197,1.129032258,1.903225806,2.612903226,16.46608265,10.00908992,2.187841802,-2.108233682,2.307078239,-2.1456227,5.94840508,-0.116579016,1.586739999,1125.997573,21.95745468,17.9806149,17.9806149,14.93989204,10.72339473,10.72339473,8.408509452,8.408509452,6.21947993,6.21947993,4.609783672,4.609783672,-3.28,1.261360636,4.92398261,2.252027733,8.880573817,2.102496941,13833116.05,20.9712207,8.8384232,4.578189748,181.3785112,19.7272786,5.749511833,0.605751612,0.6104186,0.631282724,0.256170656,0.90170069,0.0,5.907179729,0.0,5.969305288,4.794537184,4.794537184,0.0,0.0,18.90801031,60.21828762,42.67647001,12.67324903,19.43246472,28.46679622,0.0,4.567099648,12.96557803,38.52492974,12.42658615,59.28540046,0,5.749511833,10.05365156,5.687386275,5.749511833,0.0,28.6599096,18.26303079,5.917906046,53.58899977,42.59504598,0.0,10.90292493,0,80.56,5.969305288,14.69560176,0.0,11.47063122,24.50906113,40.55885744,12.84164325,25.30889875,25.24677319,16.08073182,4.736862954,7.50210475,0.0,23.73310145,13.35509446,4.077103636,0.164665016,10.94126276,8.017850048,0.0,3.542151221,0.36,31,2,6,1,0,1,2,1,3,4,2,6,7,1,0,1,4,4.9947,120.883,0,0,0,0,1,1,0,0,1,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
